timestamp,symbol,open,high,low,close,volume
2026-05-01 09:30:00,GLD,220.0000,220.3672,219.7606,220.1278,810000
2026-05-01 09:35:00,GLD,220.1278,220.6602,219.8966,220.4291,472390
2026-05-01 09:40:00,GLD,220.4291,220.7605,220.1501,220.4815,494547
2026-05-01 09:45:00,GLD,220.4815,220.8842,220.0843,220.4871,516246
2026-05-01 09:50:00,GLD,220.4871,220.7095,220.2107,220.4331,537267
2026-05-01 09:55:00,GLD,220.4331,220.7246,220.2444,220.5359,557406
2026-05-01 10:00:00,GLD,220.5359,220.7905,220.3535,220.6081,576478
2026-05-01 10:05:00,GLD,220.6081,220.9901,220.3706,220.7527,594318
2026-05-01 10:10:00,GLD,220.7527,220.9997,220.5487,220.7957,610786
2026-05-01 10:15:00,GLD,220.7957,221.1804,220.6003,220.9850,625771
2026-05-01 10:20:00,GLD,220.9850,221.4773,220.6825,221.1747,639192
2026-05-01 10:25:00,GLD,221.1747,221.9759,220.9380,221.7392,651000
2026-05-01 10:30:00,GLD,221.7392,222.5697,221.3403,222.1708,661178
2026-05-01 10:35:00,GLD,222.1708,222.4753,221.9067,222.2112,526743
2026-05-01 10:40:00,GLD,222.2112,222.8257,221.9091,222.5236,533744
2026-05-01 10:45:00,GLD,222.5236,222.7871,222.3019,222.5654,539263
2026-05-01 10:50:00,GLD,222.5654,222.9332,222.3242,222.6921,543412
2026-05-01 10:55:00,GLD,222.6921,223.2123,222.3633,222.8834,546330
2026-05-01 11:00:00,GLD,222.8834,223.3798,222.6536,223.1500,548182
2026-05-01 11:05:00,GLD,223.1500,223.8175,222.9509,223.6184,549154
2026-05-01 11:10:00,GLD,223.6184,224.0913,223.3630,223.8359,549450
2026-05-01 11:15:00,GLD,223.8359,224.5703,223.5579,224.2923,549290
2026-05-01 11:20:00,GLD,224.2923,225.2703,224.0275,225.0055,548899
2026-05-01 11:25:00,GLD,225.0055,225.7353,224.7970,225.5269,548510
2026-05-01 11:30:00,GLD,225.5269,225.9873,225.2971,225.7575,548356
2026-05-01 11:35:00,GLD,225.7575,226.4335,225.4145,226.0904,548662
2026-05-01 11:40:00,GLD,226.0904,226.4585,225.8193,226.1874,406648
2026-05-01 11:45:00,GLD,226.1874,226.4971,226.0027,226.3124,408517
2026-05-01 11:50:00,GLD,226.3124,226.6765,225.9636,226.3277,411456
